% Wvl [um]	ncore	nclad	neff0te.re	neff0te.imag	neff0tm.re	neff0tm.imag	X-offset	Y-offset	waistX	waistY	G_overlap
1.53	3.4794	1.44426	2.38074	2.37119e-06	0	0	-4.64956e-12	-7.76763e-11	1.77424e-07	1.83081e-07	0.984017
1.531	3.47932	1.44425	2.3795	2.49115e-06	1.7567	-0.000305097	-4.85011e-12	-7.77708e-11	1.77464e-07	1.83222e-07	0.983983
1.532	3.47923	1.44424	2.37825	2.61418e-06	1.75541	-0.000330492	-5.04965e-12	-7.78682e-11	1.77504e-07	1.83363e-07	0.983948
1.533	3.47915	1.44423	2.377	2.74035e-06	1.75413	-0.000356241	-5.25135e-12	-7.79672e-11	1.77545e-07	1.83505e-07	0.983913
1.534	3.47906	1.44421	2.37575	2.86971e-06	0	0	-5.45319e-12	-7.80686e-11	1.77585e-07	1.83647e-07	0.983878
1.535	3.47898	1.4442	2.3745	3.00231e-06	0	0	-5.65117e-12	-7.8174e-11	1.77626e-07	1.83789e-07	0.983843
1.536	3.47889	1.44419	2.37326	3.13822e-06	1.7503	-0.000435405	-5.8542e-12	-7.82801e-11	1.77667e-07	1.83931e-07	0.983808
1.537	3.47881	1.44418	2.37201	3.27749e-06	0	0	-6.04759e-12	-7.8392e-11	1.77708e-07	1.84073e-07	0.983773
1.538	3.47872	1.44417	2.37076	3.42019e-06	0	0	-6.25331e-12	-7.85023e-11	1.77749e-07	1.84216e-07	0.983737
1.539	3.47864	1.44416	2.36951	3.56637e-06	0	0	-6.45203e-12	-7.86176e-11	1.7779e-07	1.84359e-07	0.983702
1.54	3.47855	1.44414	2.36826	3.7161e-06	0	0	-6.64712e-12	-7.87366e-11	1.77831e-07	1.84502e-07	0.983666
1.541	3.47847	1.44413	2.36701	3.86944e-06	0	0	-6.84169e-12	-7.88583e-11	1.77873e-07	1.84645e-07	0.98363
1.542	3.47839	1.44412	2.36576	4.02646e-06	0	0	-7.03421e-12	-7.89832e-11	1.77914e-07	1.84788e-07	0.983595
1.543	3.4783	1.44411	2.36451	4.18721e-06	0	0	-7.22474e-12	-7.91113e-11	1.77956e-07	1.84932e-07	0.983558
1.544	3.47822	1.4441	2.36327	4.35176e-06	0	0	-7.41247e-12	-7.92427e-11	1.77998e-07	1.85076e-07	0.983522
1.545	3.47814	1.44408	2.36202	4.52018e-06	0	0	-7.59789e-12	-7.93773e-11	1.7804e-07	1.8522e-07	0.983486
1.546	3.47805	1.44407	2.36077	4.69254e-06	0	0	-7.78062e-12	-7.95152e-11	1.78082e-07	1.85364e-07	0.983449
1.547	3.47797	1.44406	2.35952	4.86889e-06	0	0	-7.95972e-12	-7.96566e-11	1.78124e-07	1.85509e-07	0.983413
1.548	3.47789	1.44405	2.35827	5.04931e-06	0	0	-8.1375e-12	-7.98009e-11	1.78166e-07	1.85653e-07	0.983376
1.549	3.4778	1.44404	2.35702	5.23386e-06	0	0	-8.31542e-12	-7.99482e-11	1.78209e-07	1.85798e-07	0.983339
1.55	3.47772	1.44402	2.35577	5.42262e-06	0	0	-4.06749e-12	-7.99016e-11	1.78256e-07	1.85934e-07	0.983302
1.551	3.47764	1.44401	2.35452	5.61565e-06	0	0	-4.25628e-12	-7.99764e-11	1.78298e-07	1.8608e-07	0.983265
1.552	3.47756	1.444	2.35327	5.81303e-06	0	0	-4.44802e-12	-8.0054e-11	1.78341e-07	1.86226e-07	0.983228
1.553	3.47748	1.44399	2.35202	6.01482e-06	0	0	-4.63605e-12	-8.01348e-11	1.78384e-07	1.86372e-07	0.98319
1.554	3.47739	1.44398	2.35077	6.2211e-06	0	0	-4.82889e-12	-8.02182e-11	1.78427e-07	1.86518e-07	0.983153
1.555	3.47731	1.44396	2.34952	6.43194e-06	0	0	-5.02229e-12	-8.03049e-11	1.7847e-07	1.86665e-07	0.983115
1.556	3.47723	1.44395	2.34827	6.64741e-06	0	0	-5.21351e-12	-8.03946e-11	1.78514e-07	1.86811e-07	0.983077
1.557	3.47715	1.44394	2.34702	6.86759e-06	0	0	-5.40799e-12	-8.04872e-11	1.78557e-07	1.86958e-07	0.983039
1.558	3.47707	1.44393	2.34577	7.09254e-06	0	0	-5.59328e-12	-8.05838e-11	1.78601e-07	1.87105e-07	0.983001
1.559	3.47699	1.44392	2.34452	7.32236e-06	0	0	-5.78989e-12	-8.06829e-11	1.78644e-07	1.87253e-07	0.982962
1.56	3.47691	1.4439	2.34327	7.55711e-06	0	0	-5.9785e-12	-8.07856e-11	1.78688e-07	1.874e-07	0.982924
1.561	3.47683	1.44389	2.34202	7.79687e-06	0	0	-6.16674e-12	-8.08918e-11	1.78732e-07	1.87548e-07	0.982885
1.562	3.47675	1.44388	2.34077	8.04171e-06	0	0	-6.35287e-12	-8.10013e-11	1.78777e-07	1.87696e-07	0.982847
1.563	3.47667	1.44387	2.33951	8.29172e-06	0	0	-6.53702e-12	-8.11142e-11	1.78821e-07	1.87845e-07	0.982808
1.564	3.47659	1.44386	2.33826	8.54697e-06	0	0	-6.72088e-12	-8.12308e-11	1.78865e-07	1.87993e-07	0.982769
1.565	3.47651	1.44384	2.33701	8.80755e-06	0	0	-6.89851e-12	-8.13506e-11	1.7891e-07	1.88142e-07	0.98273
1.566	3.47643	1.44383	2.33576	9.07353e-06	0	0	-7.07399e-12	-8.14741e-11	1.78955e-07	1.88291e-07	0.98269
1.567	3.47635	1.44382	2.33451	9.34499e-06	0	0	-7.24726e-12	-8.1601e-11	1.79e-07	1.8844e-07	0.982651
1.568	3.47627	1.44381	2.33326	9.62202e-06	0	0	-7.42091e-12	-8.17318e-11	1.79045e-07	1.88589e-07	0.982611
1.569	3.47619	1.4438	2.33201	9.9047e-06	0	0	-7.5815e-12	-8.18654e-11	1.7909e-07	1.88739e-07	0.982572
1.57	3.47611	1.44378	2.33076	1.01931e-05	0	0	-7.74373e-12	-8.20028e-11	1.79135e-07	1.88888e-07	0.982532
